"Supplier Name","Invoice No","Invoice Date","Total Amount ()","Paid Amount ()","Balance Amount ()","TDS"
"CASH MEMO","MUSKAN BIRYANI","01-04-2025","840.00","840.00","0.00","0.00"
"SUPERWELD SOURCES PVT LTD","110/2526","01-04-2025","45953.00","45953.00","0.00","0.00"
"S.S. SALES & SERVICES","SS25-26/0001","01-04-2025","10053.60","0.00","10053.60","0.00"
"MAHARASHTRA HARDWARE","20059","01-04-2025","2714.00","2714.00","0.00","0.00"
"MAHARASHTRA HARDWARE","20077","02-04-2025","472.00","472.00","0.00","0.00"
"MAHARASHTRA HARDWARE","20083","02-04-2025","343.38","343.38","0.00","0.00"
"CASH MEMO","STAPM PAPER PURCHASED","02-04-2025","600.00","600.00","0.00","0.00"
"MAITRI METALS PVT. LTD.","MEG/V/0021/25-26","02-04-2025","30090.00","30090.00","0.00","0.00"
"INDIAN ELECTRICALS","IE/25-26/0005","02-04-2025","38930.56","38930.56","0.00","0.00"
"GRIND POWER SOLUTION","GPS/0008/25-26","02-04-2025","2183.00","2183.00","0.00","0.00"
"RISER TOOLS","RT/2025-26-1","03-04-2025","3069.18","3069.18","0.00","0.00"
"GEETA SURFACE COATINGS","28/2025-26","04-04-2025","110448.00","0.00","110448.00","0.00"
"ULTRAQUERY TECHNOLOGIES INDIA PVT LTD","UT/SL/25-26/14","04-04-2025","3811.16","0.00","3811.16","0.00"
"SHEKASA ENGINEERING","8/25/2026","04-04-2025","2059.10","0.00","2059.10","0.00"
"CASH MEMO","SHREYA TRANSPORT SERVICES-STS-0081/25-26","05-04-2025","1850.00","0.00","1850.00","0.00"
"MAHARASHTRA HARDWARE","20114","05-04-2025","1416.00","1416.00","0.00","0.00"
"SANGHVI INTERNATIONAL","SI/020/25-26","05-04-2025","14868.00","0.00","14868.00","0.00"
"SIDDHI ENTERPRISES","25-26/25","05-04-2025","13275.00","13275.00","0.00","0.00"
"RITIKA SALES","185","05-04-2025","3540.00","0.00","3540.00","0.00"
"MAITRI METALS PVT. LTD.","MEG/V/0083/25-26","05-04-2025","42480.00","42480.00","0.00","0.00"
"MAITRI METALS PVT. LTD.","MPD/25-26/0024","05-04-2025","159005.00","159005.00","0.00","0.00"
"CLASSIC LASER INDUSTRIES","19/25-26","05-04-2025","2820.16","0.00","2820.16","0.00"
"ESSTECH ENGINEERING","092","05-04-2025","15332.80","0.00","15332.80","0.00"
"NAYARA ENERGY","(DG-36.70 LTR)-D0138","05-04-2025","3323.55","3323.55","0.00","0.00"
"CASH MEMO","(PURCHASE RECHARGE-MAR)","05-04-2025","202.00","202.00","0.00","0.00"
"CASH MEMO","(PURCHASE RECHARGE-APR)","05-04-2025","202.00","202.00","0.00","0.00"
"CASH MEMO","(MARUTI COURIER-MUMBAI)","05-04-2025","90.00","90.00","0.00","0.00"
"CASH MEMO","(PUJA NOVELTY)","05-04-2025","300.00","300.00","0.00","0.00"
"EMPLOYEE PROVIDEND FUND ORGANISATION","'3152504006397","06-04-2025","57983.00","57983.00","0.00","0.00"
"GRIND POWER SOLUTION","GPS/0018/25-26","06-04-2025","5723.00","5723.00","0.00","0.00"
"GAURAV NDT SERVICES","GNS-25-26/006","07-04-2025","2501.60","0.00","2501.60","0.00"
"SUPERWELD SOURCES PVT LTD","935/2526","07-04-2025","8448.80","8448.80","0.00","0.00"
"NAYARA ENERGY","MH14KA1694)-D0175","07-04-2025","2772.00","2772.00","0.00","0.00"
"EQUIFAB INDIA PVT.LTD","EIPL-1/2025-26","07-04-2025","168504.00","0.00","168504.00","0.00"
"EQUIFAB INDIA PVT.LTD","EIPL-2/2025-26","07-04-2025","224436.00","0.00","224436.00","0.00"
"MASTERLUBE ENGINEERS PVT. LTD","MLEPL/008/25-26","07-04-2025","1860.86","0.00","1860.86","0.00"
"CASH MEMO","HR NO RECHARGE","07-04-2025","202.00","202.00","0.00","0.00"
"CASH MEMO","angle1500*80","07-04-2025","120.00","120.00","0.00","0.00"
"CASH MEMO","COFFEE PURCHASED","08-04-2025","100.00","100.00","0.00","0.00"
"POONA PIPES AND FITTINGS","216/25-26","08-04-2025","2876.84","0.00","2876.84","0.00"
"CASH MEMO","TIRANGA ELECTRONIC WEIGH BRIDGE-7726","08-04-2025","500.00","500.00","0.00","0.00"
"CASH MEMO","TIRANGA ELECTRONIC WEIGH BRIDGE-7723","08-04-2025","500.00","500.00","0.00","0.00"
"HI-TECH POLYMERS","HTP/25-26/00210","08-04-2025","212.40","212.40","0.00","0.00"
"SACHIN ELECTRIC & MOTER RWINDING","159","08-04-2025","2200.00","0.00","2200.00","0.00"
"MAULI ENTERPRISES","30/25-26","08-04-2025","2371.80","0.00","2371.80","0.00"
"S.S. SALES & SERVICES","SS25-26/0009","08-04-2025","21358.00","0.00","21358.00","0.00"
"PLATING ENGINEERING","19","09-04-2025","2392.03","0.00","2392.03","0.00"
"SANGHVI INTERNATIONAL","SI/031/25-26","09-04-2025","41842.80","0.00","41842.80","0.00"
"NEHA ENTERPRISES","NE-33/24-25","09-04-2025","2006.00","2006.00","0.00","0.00"
"CASH MEMO","CASH VOUCHER PURCHASED FOR EQUIFAB","10-04-2025","195.00","195.00","0.00","0.00"
"MASTERLUBE ENGINEERS PVT. LTD","MLEPL/011/25-26","11-04-2025","77993.28","0.00","77993.28","0.00"
"V4 CARO","3001792172","11-04-2025","1594.00","0.00","0.00","0.00"
"MAULI ENTERPRISES","26/25-26","11-04-2025","637.20","0.00","637.20","0.00"
"DHANSHREE ENTERPRISES","25-26/119","11-04-2025","4771.33","0.00","4771.33","0.00"
"SUPERWELD SOURCES PVT LTD","1384/2526","11-04-2025","4956.00","4956.00","0.00","0.00"
"MAHARASHTRA HARDWARE","20208","11-04-2025","495.60","495.60","0.00","0.00"
"ESIC-EMPLOYEES STATE INSURANCE CORPORATION","0036834419","11-04-2025","8380.00","8380.00","0.00","0.00"
"CASH MEMO","8183","12-04-2025","500.00","500.00","0.00","0.00"
"CASH MEMO","BALAJI TRADERS","12-04-2025","898.00","898.00","0.00","0.00"
"CASH MEMO","Wheel Soap Purchased","13-04-2025","0.00","0.00","0.00","0.00"
"CASH MEMO","TIRANGA ELECTRONIC WEIGH BRIDGE","13-04-2025","500.00","500.00","0.00","0.00"
"S.S. SALES & SERVICES","SS25-26/0020","13-04-2025","3245.00","0.00","3245.00","0.00"
"SAINIK MEDICAL","3282","13-04-2025","1490.00","1490.00","0.00","0.00"
"GRIND POWER SOLUTION","GPS/0034/25-26","14-04-2025","519.20","519.20","0.00","0.00"
"G D LIGHTS","GD/25-26/0029","14-04-2025","32096.00","32096.00","0.00","0.00"
"SAROVAR TUBES INDUSTRIES","36/2025-26","14-04-2025","3082.16","0.00","3082.16","0.00"
"CASH MEMO","DHANASHREE HOSPITAL MOSHI-MANIK SIR","04-04-2025","7598.00","7598.00","0.00","0.00"
"AVINASH CARGO PVT LTD","2509000531","15-04-2025","300.00","0.00","300.00","0.00"
"MAHAVITARAN","000002828817260","15-04-2025","65360.00","65360.00","0.00","0.00"
"SHEKASA ENGINEERING","23/25-26","15-04-2025","55660.60","0.00","55660.60","0.00"
"CLASSIC LASER INDUSTRIES","109/25-26","15-04-2025","4788.00","0.00","4788.00","0.00"
"S. S. ENTERPRISE","25-26/016","15-04-2025","554.60","0.00","554.60","0.00"
"MOHAMMED & SONS","048","15-04-2025","4720.00","0.00","4720.00","0.00"
"MAULI ENTERPRISES","68/25-26","15-04-2025","1355.00","0.00","1355.00","0.00"
"GAJANAN ELECTRICAL","25-26/03","15-04-2025","10313.20","10313.20","0.00","0.00"
"CSA FITTINGS","CF/25-26/90","15-04-2025","6490.00","6490.00","0.00","0.00"
"MAHARASHTRA HARDWARE","20266","16-04-2025","778.80","778.80","0.00","0.00"
"SWASTIK ENGINEERING WORKS","010/25-26","16-04-2025","6790.90","0.00","6790.90","0.00"
"AVINASH CARGO PVT LTD","2509101003","16-04-2025","601.00","601.00","0.00","0.00"
"SIDDHI ENTERPRISES","25-26/106","16-04-2025","7965.00","7965.00","0.00","0.00"
"GAURAV NDT SERVICES","GNS-25-26-019","17-04-2025","2301.00","0.00","2301.00","0.00"
"GAURAV NDT SERVICES","GNS-25-26-020","17-04-2025","8283.60","0.00","8283.60","0.00"
"NAYANA PETROLEUM","D0272","17-04-2025","3300.00","3300.00","0.00","0.00"
"GEETA SURFACE COATINGS","173/2025-26","17-04-2025","6372.00","0.00","0.00","0.00"
"K.V.INDUSTRIES","L016/25-26","17-04-2025","8985.58","8985.58","0.00","0.00"
"G M VALVE PVT. LTD","ISL25260290","17-04-2025","33630.00","0.00","33630.00","0.00"
"AVINASH CARGO PVT LTD","2500300602","18-04-2025","683.00","683.00","0.00","0.00"
"SUPERWELD SOURCES PVT LTD","2339/2526","10-04-2025","13192.40","13192.40","0.00","0.00"
"TRACKON COURIERS PVT LTD","900017410868","18-04-2025","850.00","850.00","0.00","0.00"
"SIDDHI ENTERPRISES","25-26/124","18-04-2025","5239.20","5239.20","0.00","0.00"
"Posadi Industrial Products","2526PIPINV-6","18-04-2025","41418.00","41418.00","0.00","0.00"
"EQUIFAB INDIA PVT.LTD","EIPL-3/2025-26","18-04-2025","382320.00","0.00","382320.00","0.00"
"EQUIFAB INDIA PVT.LTD","EIPL-4/2025-26","18-04-2025","93220.00","0.00","93220.00","0.00"
"Precision Auto Engineers","G-2526/62","18-04-2025","2416.64","0.00","2416.64","0.00"
"SHEKASA ENGINEERING","32/25-26","19-04-2025","4805.08","0.00","4805.08","0.00"
"HOTEL CLASSIO","16","19-04-2025","2090.00","2090.00","0.00","0.00"
"CASH MEMO","TIRANGA ELECTRONIC WEIGH BRIDGE-8787","19-04-2025","500.00","500.00","0.00","0.00"
"CASH MEMO","TIRANGA ELECTRONIC WEIGH BRIDGE-8791","19-04-2025","500.00","500.00","0.00","0.00"
"RAVIRAJ ANODISERS","25-26/11","19-04-2025","2301.00","0.00","2301.00","0.00"
"POONA PIPES AND FITTINGS","542/25-26","20-04-2025","13430.29","0.00","13430.29","0.00"
"POOJA PRESSING WORKS","16","20-04-2025","1680.00","0.00","1680.00","0.00"
"MAULI ENTERPRISES","120/25-26","21-04-2025","708.00","0.00","708.00","0.00"
"SIDDHI ENTERPRISES","25-26/146","21-04-2025","5239.20","5239.20","0.00","0.00"
"MAHARASHTRA HARDWARE","20346","21-04-2025","339.84","0.00","339.84","0.00"
"AVINASH CARGO PVT LTD","2554900241","21-04-2025","810.00","810.00","0.00","0.00"
"STEELFIT ENGINEERING CO.","T-25-26/0047","21-04-2025","25960.00","25960.00","0.00","0.00"
"METAL IMPEX INDIA","33","22-04-2025","27435.00","0.00","27435.00","0.00"
"GEETA SURFACE COATINGS","231/2025-26","22-04-2025","25488.00","0.00","25488.00","0.00"
"REASONABLE TOOLS & HARDWARE STORE","RT0161/25-26","22-04-2025","9357.40","9357.40","0.00","0.00"
"SHREE MARUTI COURIER","WIKA","22-04-2025","40.00","40.00","0.00","0.00"
"ELCA QUALITY SYSTEMS & CALIBRATIONS PVT.LTD","25-26/P1343","22-04-2025","26361.20","26361.20","0.00","0.00"
"ELCA QUALITY SYSTEMS & CALIBRATIONS PVT.LTD","25-26/P1377","22-04-2025","15576.00","15576.00","0.00","0.00"
"NAYARA ENERGY","D0562-(MH14KA1694)","23-06-2025","3375.00","3375.00","0.00","0.00"
"HOTEL CLASSIO","26","23-04-2025","821.00","821.00","0.00","0.00"
"BHAGWATI TOOLS PVT.LTD","BTPL-0171","23-04-2025","708.00","0.00","708.00","0.00"
"RAVIRAJ ANODISERS","25-26/91","23-04-2025","531.00","0.00","531.00","0.00"
"SANGHVI INTERNATIONAL","SI/071/25-26","23-04-2025","44427.00","0.00","44427.00","0.00"
"MAULI ENTERPRISES","137/25-26","23-04-2025","1274.40","0.00","1274.40","0.00"
"GEETA SURFACE COATINGS","243/2025-26","23-04-2025","4248.00","0.00","4248.00","0.00"
"CASH MEMO","(ACID PURCHASED)","24-04-2025","150.00","150.00","0.00","0.00"
"EQUIFAB INDIA PVT.LTD","EIPL-5/2025-26","24-04-2025","41772.00","0.00","41772.00","0.00"
"SHARDA ENTERPRISES","362/2025-26","24-04-2025","1062.00","0.00","1062.00","0.00"
"ADVANCE NDT SERVICES","ANS/25-26/61","25-04-2025","28320.00","28320.00","0.00","0.00"
"SWASTIK ENGINEERING WORKS","019/25-26","25-04-2025","33600.50","0.00","33600.50","0.00"
"AVINASH CARGO PVT LTD","2509101607","25-04-2025","601.00","601.00","0.00","0.00"
"GEETA SURFACE COATINGS","273/2025-26","25-04-2025","57348.00","0.00","57348.00","0.00"
"GAJANAN ELECTRICAL","25-26/10","27-04-2025","10148.00","10148.00","0.00","0.00"
"GAJANAN ELECTRICAL","25-26/11","27-04-2025","2478.00","2478.00","0.00","0.00"
"CASH MEMO","GAMIL STORAGE QUALITY PC-200GB","27-04-2025","2100.00","2100.00","0.00","0.00"
"CASH MEMO","NARAL FOR AMAVSYA","27-04-2025","30.00","30.00","0.00","0.00"
"CASH MEMO","PLUMBER CHARGES","28-04-2025","1000.00","1000.00","0.00","0.00"
"CASH MEMO","PRINCE HARDWARE ELECTRICALS","28-04-2025","1870.00","1870.00","0.00","0.00"
"NAYARA ENERGY","D1149","28-04-2025","3331.63","3331.63","0.00","0.00"
"SAI SAGAR","","28-04-2025","526.00","526.00","0.00","0.00"
"EQUIFAB INDIA PVT.LTD","EIPL-6/2025-26","28-04-2025","35872.00","0.00","35872.00","0.00"
"GEETA SURFACE COATINGS","338/2025-26","29-04-2025","5310.00","0.00","5310.00","0.00"
"GEETA SURFACE COATINGS","340/2025-26","29-04-2025","8496.00","0.00","8496.00","0.00"
"SAROVAR TUBES INDUSTRIES","90/2025-26","29-04-2025","10649.50","0.00","10649.50","0.00"
"EQUIFAB INDIA PVT.LTD","EIPL-7/2025-26","29-04-2025","210512.00","0.00","210512.00","0.00"
"GEETA SURFACE COATINGS","339/2025-26","29-04-2025","13806.00","0.00","13806.00","0.00"
"RAVIRAJ ANODISERS","25-26/109","29-04-2025","1770.00","0.00","1770.00","0.00"
"RAVIRAJ ANODISERS","25-26/112","30-04-2025","354.00","0.00","354.00","0.00"
